               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.026573,            0.010249,           0.0014204,             0.95055,             0.92504,             0.95334,             0.70642,            0.021812,           0.0093509,          0.00090894,          0.00093112,          0.00093112,          0.00093112
                  79,            0.026529,            0.010326,           0.0013873,             0.95298,             0.92306,             0.95374,             0.70393,            0.022031,            0.009341,          0.00087617,          0.00090971,          0.00090971,          0.00090971
                  80,            0.026076,            0.010154,           0.0012775,             0.95252,             0.92609,             0.95804,             0.71022,            0.021707,           0.0093025,          0.00081407,          0.00088829,          0.00088829,          0.00088829
                  81,            0.026264,             0.01007,           0.0028567,               0.948,             0.93565,             0.96037,             0.71251,            0.021706,           0.0092566,          0.00080835,          0.00086688,          0.00086688,          0.00086688
                  82,            0.026627,            0.010609,            0.002085,             0.94961,             0.91996,             0.95191,             0.71351,            0.021644,           0.0092138,           0.0007999,          0.00084547,          0.00084547,          0.00084547
                  83,             0.02617,            0.010115,           0.0013332,             0.94888,             0.92466,             0.95087,             0.70716,            0.021833,           0.0091975,           0.0008247,          0.00082405,          0.00082405,          0.00082405
                  84,            0.025486,           0.0098672,           0.0012892,             0.95326,             0.92372,             0.95604,             0.71137,            0.021549,           0.0091483,          0.00083599,          0.00080264,          0.00080264,          0.00080264
                  85,            0.025807,            0.010181,            0.001309,              0.9534,             0.94056,             0.96299,             0.71215,            0.021837,           0.0091835,          0.00080656,          0.00078122,          0.00078122,          0.00078122
                  86,            0.025964,            0.010009,            0.002127,             0.95228,             0.93088,              0.9575,             0.70698,            0.021766,           0.0091812,          0.00082849,          0.00075981,          0.00075981,          0.00075981
                  87,            0.025111,           0.0098921,           0.0026413,             0.94231,             0.93434,             0.95166,             0.71258,            0.021627,           0.0091945,          0.00084949,           0.0007384,           0.0007384,           0.0007384
                  88,            0.025775,            0.010009,           0.0013146,             0.94439,              0.9345,               0.955,             0.71339,            0.021572,           0.0091874,          0.00086305,          0.00071698,          0.00071698,          0.00071698
